id,word,part_of_speech,cefr_level,phonetic_uk,phonetic_us,thai_meaning,example_sentence,example_translation,category,distractors,audio_key,note,raw_entry
1094,curly,adj.,A2,,,,,,General,,curly,,curly adj.
1095,cycle,"n., v.",A2,,,,,,General,,cycle,,"cycle n., v."
1096,daily,adj.,A2,,,,,,General,,daily,,daily adj.
1097,danger,n.,A2,,,,,,General,,danger,,danger n.
1098,dark,n.,A2,,,,,,General,,dark,,dark n.
1099,data,n.,A2,,,,,,General,,data,,data n.
1100,dead,adj.,A2,,,,,,General,,dead,,dead adj.
1101,deal,v.,A2,,,,,,General,,deal,,deal v.
1102,dear,exclam.,A2,,,,,,General,,dear,,dear exclam.
1103,death,n.,A2,,,,,,General,,death,,death n.
1104,decision,n.,A2,,,,,,General,,decision,,decision n.
1105,deep,adj.,A2,,,,,,General,,deep,,deep adj.
1106,definitely,adv.,A2,,,,,,General,,definitely,,definitely adv.
1107,degree,n.,A2,,,,,,General,,degree,,degree n.
1108,dentist,n.,A2,,,,,,General,,dentist,,dentist n.
1109,department,n.,A2,,,,,,General,,department,,department n.
1110,depend,v.,A2,,,,,,General,,depend,,depend v.
1111,desert,n.,A2,,,,,,General,,desert,,desert n.
1112,designer,n.,A2,,,,,,General,,designer,,designer n.
1113,destroy,v.,A2,,,,,,General,,destroy,,destroy v.
1114,detective,n.,A2,,,,,,General,,detective,,detective n.
1115,develop,v.,A2,,,,,,General,,develop,,develop v.
1116,device,n.,A2,,,,,,General,,device,,device n.
1117,diary,n.,A2,,,,,,General,,diary,,diary n.
1118,differently,adv.,A2,,,,,,General,,differently,,differently adv.
1119,digital,adj.,A2,,,,,,General,,digital,,digital adj.
1120,direct,adj.,A2,,,,,,General,,direct,,direct adj.
1121,direction,n.,A2,,,,,,General,,direction,,direction n.
1122,director,n.,A2,,,,,,General,,director,,director n.
1123,disagree,v.,A2,,,,,,General,,disagree,,disagree v.
1124,disappear,v.,A2,,,,,,General,,disappear,,disappear v.
1125,disaster,n.,A2,,,,,,General,,disaster,,disaster n.
1126,discover,v.,A2,,,,,,General,,discover,,discover v.
1127,discovery,n.,A2,,,,,,General,,discovery,,discovery n.
1128,discussion,n.,A2,,,,,,General,,discussion,,discussion n.
1129,disease,n.,A2,,,,,,General,,disease,,disease n.
1130,distance,n.,A2,,,,,,General,,distance,,distance n.
